Spot, Student ID
1, 352
2, 1275
3, 148
4, 851
5, 364
6, 296
7, 204
8, 428
9, 1684
10, 182
11, 102
12, 440
13, 1595
14, 141
15, 1574
16, 790
17, 95
18, 132
19, 894
20, 1196
21, 435
22, 261
23, 248
24, 1519
25, 109
26, 156
27, 1568
28, 1184
29, 113
30, 241
31, 1667
32, 155
33, 1779
34, 131
35, 448
36, 1146
37, 236
38, 176
39, 1825
40, 168
41, 858
42, 255
43, 326
44, 1283
45, 1235
46, 308
47, 354
48, 1312
49, 457
50, 1352
51, 420
52, 538
53, 1666
54, 278
55, 193
56, 1579
57, 1
58, 1634
59, 179
60, 306
61, 1625
62, 1646
63, 1191
64, 1530
65, 251
66, 1798
67, 1512
68, 1239
69, 15
70, 184
71, 1526
72, 239
73, 164
74, 443
75, 137
76, 225
77, 495
78, 1083
79, 1713
80, 332
81, 414
82, 165
83, 312
84, 1118
85, 338
86, 301
87, 167
88, 8
89, 1039
90, 480
91, 259
92, 162
93, 1307
94, 1334
95, 310
96, 160
97, 1578
98, 1460
99, 328
100, 9
101, 1464
102, 198
103, 861
104, 1178
105, 1732
106, 1333
107, 434
108, 123
109, 188
110, 1551
111, 390
112, 262
113, 205
114, 209
115, 405
116, 1105
117, 63
118, 370
119, 180
120, 106
121, 724
122, 489
123, 956
124, 453
125, 1295
126, 117
127, 1752
128, 1751
129, 519
130, 1197
131, 1728
132, 1193
133, 1761
134, 1302
135, 438
136, 1320
137, 1290
138, 294
139, 169
140, 461
141, 331
142, 404
143, 142
144, 224
145, 1080
146, 374
147, 923
148, 51
149, 218
150, 1117
151, 1553
152, 365
153, 1354
154, 211
155, 298
156, 362
157, 276
158, 1446
159, 1573
160, 249
161, 214
162, 1442
163, 26
164, 240
165, 1524
166, 66
167, 161
168, 1169
169, 253
170, 408
171, 342
172, 1547
173, 264
174, 220
175, 303
176, 93
177, 1395
178, 426
179, 376
180, 247
181, 1123
182, 1520
183, 1521
184, 1794
185, 1477
186, 1508
187, 1387
188, 1298
189, 1541
190, 470
191, 1266
192, 988
193, 474
194, 920
195, 279
196, 1609
197, 292
198, 1368
199, 643
200, 1360
201, 1566
202, 1674
203, 500
204, 507
205, 2
206, 153
207, 891
208, 187
209, 304
210, 932
211, 1482
212, 1047
213, 1746
214, 1525
215, 1582
216, 1822
217, 329
218, 516
219, 1675
220, 302
221, 433
222, 1786
223, 1710
224, 881
225, 537
226, 139
227, 324
228, 1292
229, 138
230, 101
231, 277
232, 1366
233, 118
234, 384
235, 1627
236, 1082
237, 230
238, 44
239, 285
240, 208
241, 1507
242, 1575
243, 1151
244, 1157
245, 1362
246, 1581
247, 144
248, 545
249, 196
250, 37
251, 1440
252, 178
253, 295
254, 914
255, 217
256, 1318
257, 681
258, 383
259, 381
260, 223
261, 242
262, 1690
263, 1662
264, 10
265, 149
266, 1787
267, 183
268, 1799
269, 896
270, 325
271, 126
272, 284
273, 425
274, 154
275, 1171
276, 401
277, 1091
278, 1820
279, 1432
280, 1156
281, 409
282, 1113
283, 860
284, 265
285, 1234
286, 466
287, 1382
288, 1623
289, 282
290, 203
291, 963
292, 311
293, 375
294, 1663
295, 207
296, 1237
297, 437
298, 61
299, 1522
300, 499
301, 100
302, 363
303, 50
304, 13
305, 885
306, 330
307, 1296
308, 1088
309, 1428
310, 1615
311, 1125
312, 357
313, 181
314, 1021
315, 394
316, 485
317, 372
318, 1481
319, 1233
320, 4
321, 864
322, 1299
323, 369
324, 1093
325, 1401
326, 192
327, 971
328, 368
329, 454
330, 1585
331, 1467
332, 882
333, 174
334, 96
335, 1418
336, 1220
337, 270
338, 1256
339, 116
340, 200
341, 201
342, 1106
343, 112
344, 1540
345, 252
346, 159
347, 1153
348, 389
349, 1075
350, 5
351, 1412
352, 455
353, 62
354, 185
355, 1749
356, 250
357, 1590
358, 393
359, 237
360, 410
361, 445
362, 1136
363, 977
364, 1589
365, 602
366, 1570
367, 1494
368, 1051
369, 186
370, 508
371, 1263
372, 170
373, 171
374, 221
375, 382
376, 379
377, 336
378, 130
379, 1232
380, 134
381, 400
382, 127
383, 1670
384, 1284
385, 1074
386, 1048
387, 494
388, 110
389, 136
390, 215
391, 717
392, 1580
393, 1337
394, 1693
395, 1429
551, 1152
552, 463
553, 122
554, 272
555, 31
556, 190
557, 206
558, 175
559, 309
560, 518
561, 1140
562, 146
563, 1164
564, 398
565, 289
566, 297
567, 451
568, 256
569, 129
570, 258
571, 1567
572, 1281
573, 197
574, 1396
575, 1443
576, 436
577, 1227
578, 1112
579, 1219
580, 412
581, 456
582, 340
583, 355
584, 65
585, 307
586, 195
587, 1335
588, 1265
